technology,capacity_type,location,0
electrode_boiler,power,CZ,2.9085225459422293
electrode_boiler,power,DE,13.02777125106894
electrode_boiler,power,DK,20.131054131332572
electrode_boiler,power,EE,4.0488249258944
electrode_boiler,power,EL,19.677913519361315
electrode_boiler,power,ES,3.206959876637344
electrode_boiler,power,FI,14.900873153468348
electrode_boiler,power,FR,25.78194572040722
electrode_boiler,power,HR,0.7092541747456097
electrode_boiler,power,HU,1.9059783161773658
electrode_boiler,power,IE,1.0242866833511843
electrode_boiler,power,IT,134.53843226242026
electrode_boiler,power,LT,5.837173989192003
electrode_boiler,power,LU,0.1262973120108173
electrode_boiler,power,LV,4.867235123176999
electrode_boiler,power,NL,35.251350282160324
electrode_boiler,power,NO,10.668157425556798
electrode_boiler,power,PL,80.08430009130899
electrode_boiler,power,PT,0.5621652059935928
electrode_boiler,power,RO,0.09408181467240359
electrode_boiler,power,SE,16.072806258476056
electrode_boiler,power,SI,0.5046442312063253
electrode_boiler,power,SK,0.7148349611400032
electrode_boiler,power,UK,149.34437108702517
hard_coal_boiler,power,AT,0.04073101507431353
hard_coal_boiler,power,BE,0.15506209033423804
hard_coal_boiler,power,BG,0.42789721473294406
hard_coal_boiler,power,CH,0.05518700021913453
hard_coal_boiler,power,CZ,1.64990950714777
hard_coal_boiler,power,DE,1.0706093424065728
hard_coal_boiler,power,DK,0.01300278272230103
hard_coal_boiler,power,EE,1.0378305221953088e-12
hard_coal_boiler,power,EL,0.025793637485352728
hard_coal_boiler,power,ES,0.302896677049302
hard_coal_boiler,power,FI,0.09051173656074624
hard_coal_boiler,power,FR,0.1633880721209878
hard_coal_boiler,power,HR,1.0378305221953088e-12
hard_coal_boiler,power,HU,0.21899205200995475
hard_coal_boiler,power,IE,0.9274574346413542
hard_coal_boiler,power,IT,1.0378305221953088e-12
hard_coal_boiler,power,LT,0.21650230776766835
hard_coal_boiler,power,LU,1.0378305221953088e-12
hard_coal_boiler,power,LV,1.0378305221953088e-12
hard_coal_boiler,power,NL,0.01419990119438293
hard_coal_boiler,power,NO,1.0378305221953088e-12
hard_coal_boiler,power,PL,19.69519775262588
hard_coal_boiler,power,PT,1.0378305221953088e-12
hard_coal_boiler,power,RO,0.09284388057348963
hard_coal_boiler,power,SE,1.0378305221953088e-12
hard_coal_boiler,power,SI,1.0378305221953088e-12
hard_coal_boiler,power,SK,0.2527780351146499
hard_coal_boiler,power,UK,1.5426854324148613
hard_coal_plant,power,AT,4.513753114124061e-13
hard_coal_plant,power,BE,4.513753114124061e-13
hard_coal_plant,power,BG,0.1653000000004514
hard_coal_plant,power,CH,4.513753114124061e-13
hard_coal_plant,power,CZ,0.7015000000004514
hard_coal_plant,power,DE,13.087650000000455
hard_coal_plant,power,DK,1.8526000000004517
hard_coal_plant,power,EE,4.513753114124061e-13
hard_coal_plant,power,EL,4.513753114124061e-13
hard_coal_plant,power,ES,0.7979000000004515
hard_coal_plant,power,FI,0.8282400000004514
hard_coal_plant,power,FR,2.1150000000004514
hard_coal_plant,power,HR,0.21000000000045138
hard_coal_plant,power,HU,4.513753114124061e-13
hard_coal_plant,power,IE,0.8122500000004514
hard_coal_plant,power,IT,5.580000000000451
hard_coal_plant,power,LT,4.513753114124061e-13
hard_coal_plant,power,LU,4.513753114124061e-13
hard_coal_plant,power,LV,4.513753114124061e-13
hard_coal_plant,power,NL,4.223000000000452
hard_coal_plant,power,NO,0.011000000000451374
hard_coal_plant,power,PL,9.165220000000451
hard_coal_plant,power,PT,4.513753114124061e-13
hard_coal_plant,power,RO,0.1445000000004514
hard_coal_plant,power,SE,4.513753114124061e-13
hard_coal_plant,power,SI,4.513753114124061e-13
hard_coal_plant,power,SK,0.2800000000004514
hard_coal_plant,power,UK,0.6520000000004514
hard_coal_plant_CCS,power,AT,2.1591128525582959e-13
hard_coal_plant_CCS,power,BE,2.1591128525582959e-13
hard_coal_plant_CCS,power,BG,2.1591128525582959e-13
hard_coal_plant_CCS,power,CH,2.1591128525582959e-13
hard_coal_plant_CCS,power,CZ,2.1591128525582959e-13
hard_coal_plant_CCS,power,DE,2.1591128525582959e-13
hard_coal_plant_CCS,power,DK,2.1591128525582959e-13
