technology,capacity_type,location,year,none
DAC,power,AT,0,9.52E-10
DAC,power,AT,1,1.58E-09
DAC,power,AT,2,2.20E-09
DAC,power,AT,3,2.89E-09
DAC,power,AT,4,3.68E-09
DAC,power,AT,5,4.52E-09
DAC,power,AT,6,5.49E-09
DAC,power,AT,7,6.63E-09
DAC,power,AT,8,8.01E-09
DAC,power,AT,9,9.73E-09
DAC,power,AT,10,1.09E-08
DAC,power,AT,11,1.31E-08
DAC,power,AT,12,1.64E-08
DAC,power,AT,13,2.26E-08
DAC,power,AT,14,4.69E-08
DAC,power,BE,0,9.42E-10
DAC,power,BE,1,1.56E-09
DAC,power,BE,2,2.17E-09
DAC,power,BE,3,2.84E-09
DAC,power,BE,4,3.61E-09
DAC,power,BE,5,4.43E-09
DAC,power,BE,6,5.38E-09
DAC,power,BE,7,6.50E-09
DAC,power,BE,8,7.87E-09
DAC,power,BE,9,9.59E-09
DAC,power,BE,10,1.08E-08
DAC,power,BE,11,1.30E-08
DAC,power,BE,12,1.63E-08
DAC,power,BE,13,2.27E-08
DAC,power,BE,14,4.93E-08
DAC,power,BG,0,9.58E-10
DAC,power,BG,1,1.58E-09
DAC,power,BG,2,2.21E-09
DAC,power,BG,3,2.89E-09
DAC,power,BG,4,3.67E-09
DAC,power,BG,5,4.51E-09
DAC,power,BG,6,5.47E-09
DAC,power,BG,7,6.62E-09
DAC,power,BG,8,8.01E-09
DAC,power,BG,9,9.72E-09
DAC,power,BG,10,1.09E-08
DAC,power,BG,11,1.31E-08
DAC,power,BG,12,1.64E-08
DAC,power,BG,13,2.25E-08
DAC,power,BG,14,4.51E-08
DAC,power,CH,0,9.54E-10
DAC,power,CH,1,1.58E-09
DAC,power,CH,2,2.21E-09
DAC,power,CH,3,2.90E-09
DAC,power,CH,4,3.69E-09
DAC,power,CH,5,4.53E-09
DAC,power,CH,6,5.49E-09
DAC,power,CH,7,6.63E-09
DAC,power,CH,8,8.00E-09
DAC,power,CH,9,9.71E-09
DAC,power,CH,10,1.09E-08
DAC,power,CH,11,1.31E-08
DAC,power,CH,12,1.64E-08
DAC,power,CH,13,2.27E-08
DAC,power,CH,14,4.71E-08
DAC,power,CZ,0,9.46E-10
DAC,power,CZ,1,1.57E-09
