technology,capacity_type,location,year,none
DAC,power,FR,11,4.96E-09
DAC,power,FR,12,6.23E-09
DAC,power,FR,13,8.64E-09
DAC,power,FR,14,1.82E-08
DAC,power,HR,0,3.67E-10
DAC,power,HR,1,6.07E-10
DAC,power,HR,2,8.42E-10
DAC,power,HR,3,1.10E-09
DAC,power,HR,4,1.42E-09
DAC,power,HR,5,1.78E-09
DAC,power,HR,6,2.21E-09
DAC,power,HR,7,2.75E-09
DAC,power,HR,8,3.42E-09
DAC,power,HR,9,4.26E-09
DAC,power,HR,10,4.94E-09
DAC,power,HR,11,6.05E-09
DAC,power,HR,12,7.82E-09
DAC,power,HR,13,1.24E-08
DAC,power,HR,14,3.14E-08
DAC,power,HU,0,3.66E-10
DAC,power,HU,1,6.06E-10
DAC,power,HU,2,8.44E-10
DAC,power,HU,3,1.10E-09
DAC,power,HU,4,1.41E-09
DAC,power,HU,5,1.73E-09
DAC,power,HU,6,2.09E-09
DAC,power,HU,7,2.53E-09
DAC,power,HU,8,3.06E-09
DAC,power,HU,9,3.73E-09
DAC,power,HU,10,4.21E-09
DAC,power,HU,11,5.02E-09
DAC,power,HU,12,6.30E-09
DAC,power,HU,13,8.74E-09
DAC,power,HU,14,1.76E-08
DAC,power,IE,0,3.52E-10
DAC,power,IE,1,5.87E-10
DAC,power,IE,2,8.16E-10
DAC,power,IE,3,1.07E-09
DAC,power,IE,4,1.36E-09
DAC,power,IE,5,1.67E-09
DAC,power,IE,6,2.03E-09
DAC,power,IE,7,2.47E-09
DAC,power,IE,8,3.01E-09
DAC,power,IE,9,3.68E-09
DAC,power,IE,10,4.17E-09
DAC,power,IE,11,5.01E-09
DAC,power,IE,12,6.35E-09
DAC,power,IE,13,9.00E-09
DAC,power,IE,14,2.30E-08
DAC,power,IT,0,3.64E-10
DAC,power,IT,1,6.03E-10
DAC,power,IT,2,8.40E-10
DAC,power,IT,3,1.10E-09
DAC,power,IT,4,1.43E-09
DAC,power,IT,5,1.80E-09
DAC,power,IT,6,2.25E-09
DAC,power,IT,7,2.81E-09
DAC,power,IT,8,3.52E-09
DAC,power,IT,9,4.41E-09
DAC,power,IT,10,5.17E-09
DAC,power,IT,11,6.27E-09
DAC,power,IT,12,8.19E-09
DAC,power,IT,13,1.39E-08
DAC,power,IT,14,5.03E-08
DAC,power,LT,0,3.75E-10
DAC,power,LT,1,6.21E-10
DAC,power,LT,2,8.64E-10
DAC,power,LT,3,1.14E-09
DAC,power,LT,4,1.48E-09
DAC,power,LT,5,1.87E-09
DAC,power,LT,6,2.35E-09
DAC,power,LT,7,2.96E-09
DAC,power,LT,8,3.74E-09
DAC,power,LT,9,4.74E-09
DAC,power,LT,10,5.61E-09
DAC,power,LT,11,6.80E-09
DAC,power,LT,12,8.94E-09
DAC,power,LT,13,1.62E-08
DAC,power,LT,14,6.72E-08
DAC,power,LU,0,3.60E-10
DAC,power,LU,1,5.95E-10
DAC,power,LU,2,8.29E-10
DAC,power,LU,3,1.09E-09
DAC,power,LU,4,1.38E-09
DAC,power,LU,5,1.69E-09
DAC,power,LU,6,2.05E-09
DAC,power,LU,7,2.48E-09
DAC,power,LU,8,2.99E-09
DAC,power,LU,9,3.64E-09
DAC,power,LU,10,4.09E-09
DAC,power,LU,11,4.89E-09
DAC,power,LU,12,6.14E-09
DAC,power,LU,13,8.51E-09
DAC,power,LU,14,1.80E-08
DAC,power,LV,0,3.77E-10
DAC,power,LV,1,6.25E-10
DAC,power,LV,2,8.71E-10
DAC,power,LV,3,1.15E-09
DAC,power,LV,4,1.50E-09
DAC,power,LV,5,1.90E-09
DAC,power,LV,6,2.40E-09
DAC,power,LV,7,3.03E-09
DAC,power,LV,8,3.86E-09
DAC,power,LV,9,4.95E-09
DAC,power,LV,10,5.97E-09
DAC,power,LV,11,7.34E-09
DAC,power,LV,12,9.60E-09
DAC,power,LV,13,1.84E-08
DAC,power,LV,14,1.01E-07
DAC,power,NL,0,3.56E-10
DAC,power,NL,1,5.88E-10
DAC,power,NL,2,8.16E-10
DAC,power,NL,3,1.07E-09
DAC,power,NL,4,1.36E-09
DAC,power,NL,5,1.69E-09
DAC,power,NL,6,2.08E-09
DAC,power,NL,7,2.55E-09
DAC,power,NL,8,3.13E-09
DAC,power,NL,9,3.85E-09
DAC,power,NL,10,4.40E-09
DAC,power,NL,11,5.30E-09
DAC,power,NL,12,6.75E-09
DAC,power,NL,13,9.84E-09
DAC,power,NL,14,2.43E-08
DAC,power,NO,0,3.77E-10
DAC,power,NO,1,6.19E-10
DAC,power,NO,2,8.61E-10
DAC,power,NO,3,1.13E-09
DAC,power,NO,4,1.48E-09
DAC,power,NO,5,1.87E-09
DAC,power,NO,6,2.35E-09
DAC,power,NO,7,2.97E-09
DAC,power,NO,8,3.77E-09
DAC,power,NO,9,4.79E-09
DAC,power,NO,10,5.68E-09
DAC,power,NO,11,6.91E-09
DAC,power,NO,12,9.13E-09
DAC,power,NO,13,1.76E-08
DAC,power,NO,14,1.60E-07
DAC,power,PL,0,3.61E-10
DAC,power,PL,1,5.96E-10
DAC,power,PL,2,8.28E-10
DAC,power,PL,3,1.09E-09
DAC,power,PL,4,1.41E-09
DAC,power,PL,5,1.76E-09
DAC,power,PL,6,2.17E-09
DAC,power,PL,7,2.69E-09
DAC,power,PL,8,3.33E-09
DAC,power,PL,9,4.14E-09
DAC,power,PL,10,4.78E-09
DAC,power,PL,11,5.80E-09
DAC,power,PL,12,7.46E-09
DAC,power,PL,13,1.14E-08
DAC,power,PL,14,2.84E-08
DAC,power,PT,0,3.48E-10
DAC,power,PT,1,5.80E-10
DAC,power,PT,2,8.08E-10
DAC,power,PT,3,1.06E-09
DAC,power,PT,4,1.35E-09
DAC,power,PT,5,1.67E-09
DAC,power,PT,6,2.04E-09
DAC,power,PT,7,2.50E-09
DAC,power,PT,8,3.05E-09
DAC,power,PT,9,3.74E-09
DAC,power,PT,10,4.27E-09
DAC,power,PT,11,5.13E-09
DAC,power,PT,12,6.50E-09
DAC,power,PT,13,9.22E-09
DAC,power,PT,14,1.98E-08
DAC,power,RO,0,3.63E-10
DAC,power,RO,1,6.01E-10
DAC,power,RO,2,8.37E-10
DAC,power,RO,3,1.10E-09
DAC,power,RO,4,1.39E-09
DAC,power,RO,5,1.71E-09
DAC,power,RO,6,2.07E-09
DAC,power,RO,7,2.50E-09
DAC,power,RO,8,3.01E-09
DAC,power,RO,9,3.65E-09
DAC,power,RO,10,4.09E-09
DAC,power,RO,11,4.87E-09
DAC,power,RO,12,6.09E-09
DAC,power,RO,13,8.34E-09
DAC,power,RO,14,1.64E-08
DAC,power,SE,0,3.78E-10
DAC,power,SE,1,6.22E-10
DAC,power,SE,2,8.64E-10
DAC,power,SE,3,1.14E-09
DAC,power,SE,4,1.48E-09
DAC,power,SE,5,1.88E-09
DAC,power,SE,6,2.37E-09
DAC,power,SE,7,3.00E-09
DAC,power,SE,8,3.81E-09
DAC,power,SE,9,4.85E-09
DAC,power,SE,10,5.76E-09
DAC,power,SE,11,7.00E-09
DAC,power,SE,12,9.26E-09
DAC,power,SE,13,1.83E-08
DAC,power,SE,14,2.30E-07
DAC,power,SI,0,3.65E-10
DAC,power,SI,1,6.02E-10
DAC,power,SI,2,8.39E-10
DAC,power,SI,3,1.10E-09
DAC,power,SI,4,1.42E-09
DAC,power,SI,5,1.78E-09
DAC,power,SI,6,2.20E-09
DAC,power,SI,7,2.72E-09
DAC,power,SI,8,3.37E-09
DAC,power,SI,9,4.18E-09
DAC,power,SI,10,4.81E-09
DAC,power,SI,11,5.83E-09
DAC,power,SI,12,7.48E-09
DAC,power,SI,13,1.14E-08
DAC,power,SI,14,2.84E-08
DAC,power,SK,0,3.63E-10
DAC,power,SK,1,6.02E-10
DAC,power,SK,2,8.38E-10
DAC,power,SK,3,1.10E-09
DAC,power,SK,4,1.40E-09
DAC,power,SK,5,1.72E-09
DAC,power,SK,6,2.08E-09
DAC,power,SK,7,2.52E-09
DAC,power,SK,8,3.04E-09
DAC,power,SK,9,3.70E-09
DAC,power,SK,10,4.16E-09
DAC,power,SK,11,4.96E-09
DAC,power,SK,12,6.23E-09
DAC,power,SK,13,8.64E-09
DAC,power,SK,14,1.77E-08
DAC,power,UK,0,3.71E-10
DAC,power,UK,1,6.11E-10
DAC,power,UK,2,8.49E-10
DAC,power,UK,3,1.12E-09
DAC,power,UK,4,1.45E-09
DAC,power,UK,5,1.83E-09
DAC,power,UK,6,2.29E-09
DAC,power,UK,7,2.87E-09
DAC,power,UK,8,3.61E-09
DAC,power,UK,9,4.54E-09
DAC,power,UK,10,5.35E-09
DAC,power,UK,11,6.48E-09
DAC,power,UK,12,8.50E-09
DAC,power,UK,13,1.49E-08
DAC,power,UK,14,7.62E-08
biomass_boiler,power,AT,0,5.069829445
biomass_boiler,power,AT,1,4.388495188
biomass_boiler,power,AT,2,2.712549816
biomass_boiler,power,AT,3,1.675732081
biomass_boiler,power,AT,4,0.709657407
biomass_boiler,power,AT,5,0.24508495
biomass_boiler,power,AT,6,0.196963008
biomass_boiler,power,AT,7,0.065465528
biomass_boiler,power,AT,8,0.065465544
biomass_boiler,power,AT,9,6.44E-08
biomass_boiler,power,AT,10,8.59E-08
biomass_boiler,power,AT,11,1.08E-07
biomass_boiler,power,AT,12,1.36E-07
biomass_boiler,power,AT,13,1.78E-07
biomass_boiler,power,AT,14,2.77E-07
biomass_boiler,power,BE,0,1.864841829
biomass_boiler,power,BE,1,1.864841831
biomass_boiler,power,BE,2,1.245796908
biomass_boiler,power,BE,3,1.086115699
biomass_boiler,power,BE,4,0.624634366
biomass_boiler,power,BE,5,0.245845563
biomass_boiler,power,BE,6,0.175076958
biomass_boiler,power,BE,7,4.34E-08
biomass_boiler,power,BE,8,5.99E-08
biomass_boiler,power,BE,9,7.51E-08
biomass_boiler,power,BE,10,8.93E-08
biomass_boiler,power,BE,11,1.06E-07
biomass_boiler,power,BE,12,1.26E-07
biomass_boiler,power,BE,13,1.56E-07
biomass_boiler,power,BE,14,2.26E-07
biomass_boiler,power,BG,0,3.436625839
biomass_boiler,power,BG,1,3.168167354
biomass_boiler,power,BG,2,3.082876726
biomass_boiler,power,BG,3,2.829558131
biomass_boiler,power,BG,4,2.755148649
biomass_boiler,power,BG,5,2.459889432
biomass_boiler,power,BG,6,2.369135071
biomass_boiler,power,BG,7,2.100880743
biomass_boiler,power,BG,8,1.254138076
biomass_boiler,power,BG,9,0.297694305
biomass_boiler,power,BG,10,0.297694313
biomass_boiler,power,BG,11,0.297694322
biomass_boiler,power,BG,12,0.297694335
biomass_boiler,power,BG,13,0.29769436
biomass_boiler,power,BG,14,0.297694447
biomass_boiler,power,CH,0,6.869180111
biomass_boiler,power,CH,1,5.946031161
biomass_boiler,power,CH,2,3.675270232
biomass_boiler,power,CH,3,2.270471935
biomass_boiler,power,CH,4,0.961524364
biomass_boiler,power,CH,5,0.332068891
biomass_boiler,power,CH,6,0.266867823
biomass_boiler,power,CH,7,0.088700116
biomass_boiler,power,CH,8,0.088700131
biomass_boiler,power,CH,9,6.47E-08
biomass_boiler,power,CH,10,8.83E-08
biomass_boiler,power,CH,11,1.09E-07
biomass_boiler,power,CH,12,1.39E-07
biomass_boiler,power,CH,13,1.83E-07
biomass_boiler,power,CH,14,2.82E-07
biomass_boiler,power,CZ,0,6.363333809
biomass_boiler,power,CZ,1,5.736865703
biomass_boiler,power,CZ,2,5.005542692
biomass_boiler,power,CZ,3,4.445439815
biomass_boiler,power,CZ,4,3.749526088
biomass_boiler,power,CZ,5,2.649084431
biomass_boiler,power,CZ,6,1.983489423
biomass_boiler,power,CZ,7,1.650507065
biomass_boiler,power,CZ,8,0.686187047
biomass_boiler,power,CZ,9,0.274828467
biomass_boiler,power,CZ,10,0.274828473
biomass_boiler,power,CZ,11,0.274828481
biomass_boiler,power,CZ,12,0.274828493
