technology,capacity_type,location,year,none
DAC,power,EL,3,3.040000166049129e-09
DAC,power,EL,4,3.9813402540619005e-09
DAC,power,EL,5,5.051223084342622e-09
DAC,power,EL,6,6.363923976119919e-09
DAC,power,EL,7,8.077187015083488e-09
DAC,power,EL,8,1.0304601932425295e-08
DAC,power,EL,9,1.316573919693374e-08
DAC,power,EL,10,1.573877152069693e-08
DAC,power,EL,11,1.913884402622373e-08
DAC,power,EL,12,2.526205344719764e-08
DAC,power,EL,13,4.771688481765859e-08
DAC,power,EL,14,1.385686956337022e-07
DAC,power,ES,0,9.327794575571682e-10
DAC,power,ES,1,1.5544293863358611e-09
DAC,power,ES,2,2.1653674760873024e-09
DAC,power,ES,3,2.8333328280288685e-09
DAC,power,ES,4,3.6205442544109664e-09
DAC,power,ES,5,4.487132997385249e-09
DAC,power,ES,6,5.506772779202046e-09
DAC,power,ES,7,6.74481593807373e-09
DAC,power,ES,8,8.269870128384379e-09
DAC,power,ES,9,1.01875531503793e-08
DAC,power,ES,10,1.1673515128073526e-08
DAC,power,ES,11,1.4089634143717691e-08
DAC,power,ES,12,1.7972304029694955e-08
DAC,power,ES,13,2.5892313796756236e-08
DAC,power,ES,14,6.461092383227732e-08
DAC,power,FI,0,9.897767979779854e-10
DAC,power,FI,1,1.643487089508318e-09
DAC,power,FI,2,2.2839097454479955e-09
DAC,power,FI,3,3.0057448859979195e-09
DAC,power,FI,4,3.934822029775656e-09
DAC,power,FI,5,5.003794262089358e-09
DAC,power,FI,6,6.321186828150366e-09
DAC,power,FI,7,8.030807309187712e-09
DAC,power,FI,8,1.0256194402769958e-08
DAC,power,FI,9,1.31005273445525e-08
DAC,power,FI,10,1.5665955007242795e-08
DAC,power,FI,11,1.9072235331603363e-08
DAC,power,FI,12,2.537010636514931e-08
DAC,power,FI,13,5.2814968165559e-08
DAC,power,FI,14,1.549211359770096e-06
DAC,power,FR,0,9.562439864624395e-10
DAC,power,FR,1,1.5850645498454025e-09
DAC,power,FR,2,2.2079366492315024e-09
DAC,power,FR,3,2.893845705258579e-09
DAC,power,FR,4,3.682640033695317e-09
DAC,power,FR,5,4.519533332894556e-09
DAC,power,FR,6,5.4791197038479846e-09
DAC,power,FR,7,6.622619613197558e-09
DAC,power,FR,8,8.013063758882775e-09
DAC,power,FR,9,9.759036226247516e-09
DAC,power,FR,10,1.1001699335991734e-08
DAC,power,FR,11,1.3163134429268689e-08
DAC,power,FR,12,1.6560917081447206e-08
DAC,power,FR,13,2.307891485167372e-08
DAC,power,FR,14,4.974384207268805e-08
DAC,power,HR,0,9.63827482975211e-10
DAC,power,HR,1,1.595396072076512e-09
DAC,power,HR,2,2.2145794461973335e-09
DAC,power,HR,3,2.902624711482754e-09
DAC,power,HR,4,3.75528268244462e-09
DAC,power,HR,5,4.707188239373879e-09
DAC,power,HR,6,5.848106527197127e-09
DAC,power,HR,7,7.269381678496992e-09
DAC,power,HR,8,9.052218251029812e-09
DAC,power,HR,9,1.1296941422494023e-08
DAC,power,HR,10,1.3135852816285114e-08
DAC,power,HR,11,1.6104186792102536e-08
DAC,power,HR,12,2.0855577309051067e-08
DAC,power,HR,13,3.3297162469696626e-08
DAC,power,HR,14,8.536712441558061e-08
DAC,power,HU,0,9.633213284426731e-10
DAC,power,HU,1,1.5983367093445492e-09
DAC,power,HU,2,2.2276552367402264e-09
DAC,power,HU,3,2.9210489216032523e-09
DAC,power,HU,4,3.7268291992112976e-09
DAC,power,HU,5,4.57908917391196e-09
DAC,power,HU,6,5.5531068034942585e-09
DAC,power,HU,7,6.714831953253284e-09
