technology,capacity_type,location,year,none,Capacity in kW
waste_plant,power,NO,11,5.17E-09,0.01
waste_plant,power,NO,12,6.66E-09,0.01
waste_plant,power,NO,13,9.03E-09,0.01
waste_plant,power,NO,14,1.72E-08,0.02
waste_plant,power,PL,0,0.0515,51500.00
waste_plant,power,PL,1,0.0515,51500.00
waste_plant,power,PL,2,0.0515,51500.00
waste_plant,power,PL,3,0.0515,51500.00
waste_plant,power,PL,4,0.051500001,51500.00
waste_plant,power,PL,5,0.051500001,51500.00
waste_plant,power,PL,6,0.049400001,49400.00
waste_plant,power,PL,7,0.049400001,49400.00
waste_plant,power,PL,8,0.049400002,49400.00
waste_plant,power,PL,9,0.049400002,49400.00
waste_plant,power,PL,10,0.007500003,7500.00
waste_plant,power,PL,11,4.12E-09,0.00
waste_plant,power,PL,12,5.76E-09,0.01
waste_plant,power,PL,13,8.26E-09,0.01
waste_plant,power,PL,14,1.66E-08,0.02
waste_plant,power,PT,0,1.00E-09,0.00
waste_plant,power,PT,1,1.39E-09,0.00
waste_plant,power,PT,2,1.74E-09,0.00
waste_plant,power,PT,3,2.08E-09,0.00
waste_plant,power,PT,4,2.43E-09,0.00
waste_plant,power,PT,5,2.78E-09,0.00
waste_plant,power,PT,6,3.16E-09,0.00
waste_plant,power,PT,7,3.57E-09,0.00
waste_plant,power,PT,8,4.06E-09,0.00
waste_plant,power,PT,9,4.65E-09,0.00
