year,0
2022,1.0
2023,1.005655862527637
2024,1.0113117250552741
2025,1.0169675875829112
2026,1.0226234500844442
2027,1.0282793125859773
2028,1.0339351750875103
2029,1.0395910375890434
2030,1.0452469000905764
2031,1.0547277209300896
2032,1.0642085417696026
2033,1.0736893626091157
2034,1.0831701834486287
2035,1.0926510042881419
2036,1.102131825101551
2037,1.1116126459149602
2038,1.121093466728369
2039,1.1305742875417781
2040,1.140055108355187
2041,1.1495359291947003
2042,1.1590167500342134
2043,1.1684975708737264
2044,1.1779783917132394
2045,1.1874592125527523
2046,1.1969400333661617
2047,1.2064208541795707
2048,1.2159016749929796
2049,1.2253824958063886
2050,1.2348633166197978
