technology,capacity_type,location,year,none,
DAC,power,EE,5,4.93E-09,4.93E-03
DAC,power,EE,6,6.19E-09,6.19E-03
DAC,power,EE,7,7.82E-09,7.82E-03
DAC,power,EE,8,9.93E-09,9.93E-03
DAC,power,EE,9,1.27E-08,1.27E-02
DAC,power,EE,10,1.52E-08,1.52E-02
DAC,power,EE,11,1.87E-08,1.87E-02
DAC,power,EE,12,2.46E-08,2.46E-02
DAC,power,EE,13,4.46E-08,4.46E-02
DAC,power,EE,14,1.98E-07,1.98E-01
DAC,power,EL,0,9.97E-10,9.97E-04
DAC,power,EL,1,1.67E-09,1.67E-03
DAC,power,EL,2,2.31E-09,2.31E-03
DAC,power,EL,3,3.04E-09,3.04E-03
DAC,power,EL,4,3.98E-09,3.98E-03
DAC,power,EL,5,5.05E-09,5.05E-03
DAC,power,EL,6,6.36E-09,6.36E-03
DAC,power,EL,7,8.08E-09,8.08E-03
DAC,power,EL,8,1.03E-08,1.03E-02
DAC,power,EL,9,1.32E-08,1.32E-02
DAC,power,EL,10,1.57E-08,1.57E-02
DAC,power,EL,11,1.91E-08,1.91E-02
DAC,power,EL,12,2.53E-08,2.53E-02
DAC,power,EL,13,4.77E-08,4.77E-02
DAC,power,EL,14,1.39E-07,1.39E-01
DAC,power,ES,0,9.33E-10,9.33E-04
DAC,power,ES,1,1.55E-09,1.55E-03
DAC,power,ES,2,2.17E-09,2.17E-03
DAC,power,ES,3,2.83E-09,2.83E-03
DAC,power,ES,4,3.62E-09,3.62E-03
DAC,power,ES,5,4.49E-09,4.49E-03
DAC,power,ES,6,5.51E-09,5.51E-03
DAC,power,ES,7,6.74E-09,6.74E-03
DAC,power,ES,8,8.27E-09,8.27E-03
DAC,power,ES,9,1.02E-08,1.02E-02
DAC,power,ES,10,1.17E-08,1.17E-02
DAC,power,ES,11,1.41E-08,1.41E-02
DAC,power,ES,12,1.80E-08,1.80E-02
DAC,power,ES,13,2.59E-08,2.59E-02
DAC,power,ES,14,6.46E-08,6.46E-02
DAC,power,FI,0,9.90E-10,9.90E-04
DAC,power,FI,1,1.64E-09,1.64E-03
DAC,power,FI,2,2.28E-09,2.28E-03
DAC,power,FI,3,3.01E-09,3.01E-03
DAC,power,FI,4,3.93E-09,3.93E-03
DAC,power,FI,5,5.00E-09,5.00E-03
DAC,power,FI,6,6.32E-09,6.32E-03
DAC,power,FI,7,8.03E-09,8.03E-03
DAC,power,FI,8,1.03E-08,1.03E-02
DAC,power,FI,9,1.31E-08,1.31E-02
DAC,power,FI,10,1.57E-08,1.57E-02
DAC,power,FI,11,1.91E-08,1.91E-02
DAC,power,FI,12,2.54E-08,2.54E-02
DAC,power,FI,13,5.28E-08,5.28E-02
DAC,power,FI,14,1.55E-06,1.55E+00
DAC,power,FR,0,9.56E-10,9.56E-04
DAC,power,FR,1,1.59E-09,1.59E-03
DAC,power,FR,2,2.21E-09,2.21E-03
DAC,power,FR,3,2.89E-09,2.89E-03
DAC,power,FR,4,3.68E-09,3.68E-03
DAC,power,FR,5,4.52E-09,4.52E-03
DAC,power,FR,6,5.48E-09,5.48E-03
DAC,power,FR,7,6.62E-09,6.62E-03
DAC,power,FR,8,8.01E-09,8.01E-03
DAC,power,FR,9,9.76E-09,9.76E-03
DAC,power,FR,10,1.10E-08,1.10E-02
DAC,power,FR,11,1.32E-08,1.32E-02
DAC,power,FR,12,1.66E-08,1.66E-02
DAC,power,FR,13,2.31E-08,2.31E-02
DAC,power,FR,14,4.97E-08,4.97E-02
DAC,power,HR,0,9.64E-10,9.64E-04
DAC,power,HR,1,1.60E-09,1.60E-03
DAC,power,HR,2,2.21E-09,2.21E-03
DAC,power,HR,3,2.90E-09,2.90E-03
DAC,power,HR,4,3.76E-09,3.76E-03
DAC,power,HR,5,4.71E-09,4.71E-03
DAC,power,HR,6,5.85E-09,5.85E-03
DAC,power,HR,7,7.27E-09,7.27E-03
DAC,power,HR,8,9.05E-09,9.05E-03
DAC,power,HR,9,1.13E-08,1.13E-02
DAC,power,HR,10,1.31E-08,1.31E-02
DAC,power,HR,11,1.61E-08,1.61E-02
DAC,power,HR,12,2.09E-08,2.09E-02
DAC,power,HR,13,3.33E-08,3.33E-02
DAC,power,HR,14,8.54E-08,8.54E-02
DAC,power,HU,0,9.63E-10,9.63E-04
DAC,power,HU,1,1.60E-09,1.60E-03
DAC,power,HU,2,2.23E-09,2.23E-03
DAC,power,HU,3,2.92E-09,2.92E-03
DAC,power,HU,4,3.73E-09,3.73E-03
DAC,power,HU,5,4.58E-09,4.58E-03
DAC,power,HU,6,5.55E-09,5.55E-03
DAC,power,HU,7,6.71E-09,6.71E-03
DAC,power,HU,8,8.14E-09,8.14E-03
DAC,power,HU,9,9.93E-09,9.93E-03
DAC,power,HU,10,1.12E-08,1.12E-02
DAC,power,HU,11,1.34E-08,1.34E-02
DAC,power,HU,12,1.69E-08,1.69E-02
DAC,power,HU,13,2.34E-08,2.34E-02
DAC,power,HU,14,4.78E-08,4.78E-02
DAC,power,IE,0,9.26E-10,9.26E-04
DAC,power,IE,1,1.54E-09,1.54E-03
DAC,power,IE,2,2.14E-09,2.14E-03
DAC,power,IE,3,2.81E-09,2.81E-03
DAC,power,IE,4,3.57E-09,3.57E-03
DAC,power,IE,5,4.40E-09,4.40E-03
DAC,power,IE,6,5.36E-09,5.36E-03
DAC,power,IE,7,6.52E-09,6.52E-03
DAC,power,IE,8,7.94E-09,7.94E-03
DAC,power,IE,9,9.73E-09,9.73E-03
DAC,power,IE,10,1.11E-08,1.11E-02
DAC,power,IE,11,1.33E-08,1.33E-02
DAC,power,IE,12,1.69E-08,1.69E-02
DAC,power,IE,13,2.42E-08,2.42E-02
DAC,power,IE,14,6.38E-08,6.38E-02
DAC,power,IT,0,9.57E-10,9.57E-04
DAC,power,IT,1,1.59E-09,1.59E-03
DAC,power,IT,2,2.21E-09,2.21E-03
DAC,power,IT,3,2.91E-09,2.91E-03
DAC,power,IT,4,3.78E-09,3.78E-03
DAC,power,IT,5,4.77E-09,4.77E-03
DAC,power,IT,6,5.95E-09,5.95E-03
DAC,power,IT,7,7.44E-09,7.44E-03
DAC,power,IT,8,9.33E-09,9.33E-03
DAC,power,IT,9,1.17E-08,1.17E-02
DAC,power,IT,10,1.38E-08,1.38E-02
DAC,power,IT,11,1.67E-08,1.67E-02
DAC,power,IT,12,2.19E-08,2.19E-02
DAC,power,IT,13,3.77E-08,3.77E-02
DAC,power,IT,14,1.46E-07,1.46E-01
DAC,power,LT,0,9.88E-10,9.88E-04
DAC,power,LT,1,1.64E-09,1.64E-03
DAC,power,LT,2,2.29E-09,2.29E-03
DAC,power,LT,3,3.01E-09,3.01E-03
DAC,power,LT,4,3.93E-09,3.93E-03
DAC,power,LT,5,4.98E-09,4.98E-03
DAC,power,LT,6,6.28E-09,6.28E-03
DAC,power,LT,7,7.94E-09,7.94E-03
DAC,power,LT,8,1.01E-08,1.01E-02
DAC,power,LT,9,1.29E-08,1.29E-02
DAC,power,LT,10,1.53E-08,1.53E-02
DAC,power,LT,11,1.87E-08,1.87E-02
DAC,power,LT,12,2.46E-08,2.46E-02
DAC,power,LT,13,4.48E-08,4.48E-02
DAC,power,LT,14,1.93E-07,1.93E-01
DAC,power,LU,0,9.50E-10,9.50E-04
DAC,power,LU,1,1.57E-09,1.57E-03
DAC,power,LU,2,2.19E-09,2.19E-03
DAC,power,LU,3,2.87E-09,2.87E-03
DAC,power,LU,4,3.65E-09,3.65E-03
DAC,power,LU,5,4.48E-09,4.48E-03
DAC,power,LU,6,5.43E-09,5.43E-03
DAC,power,LU,7,6.57E-09,6.57E-03
DAC,power,LU,8,7.95E-09,7.95E-03
DAC,power,LU,9,9.70E-09,9.70E-03
DAC,power,LU,10,1.10E-08,1.10E-02
DAC,power,LU,11,1.31E-08,1.31E-02
DAC,power,LU,12,1.66E-08,1.66E-02
DAC,power,LU,13,2.31E-08,2.31E-02
DAC,power,LU,14,4.96E-08,4.96E-02
DAC,power,LV,0,9.97E-10,9.97E-04
DAC,power,LV,1,1.65E-09,1.65E-03
DAC,power,LV,2,2.31E-09,2.31E-03
DAC,power,LV,3,3.04E-09,3.04E-03
DAC,power,LV,4,3.98E-09,3.98E-03
DAC,power,LV,5,5.06E-09,5.06E-03
DAC,power,LV,6,6.40E-09,6.40E-03
DAC,power,LV,7,8.15E-09,8.15E-03
DAC,power,LV,8,1.05E-08,1.05E-02
DAC,power,LV,9,1.35E-08,1.35E-02
DAC,power,LV,10,1.66E-08,1.66E-02
DAC,power,LV,11,2.05E-08,2.05E-02
DAC,power,LV,12,2.68E-08,2.68E-02
DAC,power,LV,13,5.18E-08,5.18E-02
DAC,power,LV,14,2.90E-07,2.90E-01
DAC,power,NL,0,9.34E-10,9.34E-04
DAC,power,NL,1,1.55E-09,1.55E-03
DAC,power,NL,2,2.15E-09,2.15E-03
DAC,power,NL,3,2.81E-09,2.81E-03
DAC,power,NL,4,3.59E-09,3.59E-03
DAC,power,NL,5,4.46E-09,4.46E-03
DAC,power,NL,6,5.49E-09,5.49E-03
DAC,power,NL,7,6.74E-09,6.74E-03
DAC,power,NL,8,8.28E-09,8.28E-03
DAC,power,NL,9,1.02E-08,1.02E-02
DAC,power,NL,10,1.17E-08,1.17E-02
DAC,power,NL,11,1.41E-08,1.41E-02
DAC,power,NL,12,1.80E-08,1.80E-02
DAC,power,NL,13,2.64E-08,2.64E-02
DAC,power,NL,14,6.80E-08,6.80E-02
DAC,power,NO,0,9.91E-10,9.91E-04
DAC,power,NO,1,1.63E-09,1.63E-03
DAC,power,NO,2,2.27E-09,2.27E-03
DAC,power,NO,3,2.99E-09,2.99E-03
DAC,power,NO,4,3.91E-09,3.91E-03
DAC,power,NO,5,4.98E-09,4.98E-03
DAC,power,NO,6,6.28E-09,6.28E-03
DAC,power,NO,7,7.96E-09,7.96E-03
DAC,power,NO,8,1.02E-08,1.02E-02
DAC,power,NO,9,1.30E-08,1.30E-02
DAC,power,NO,10,1.55E-08,1.55E-02
DAC,power,NO,11,1.89E-08,1.89E-02
DAC,power,NO,12,2.52E-08,2.52E-02
DAC,power,NO,13,5.09E-08,5.09E-02
DAC,power,NO,14,7.64E-07,7.64E-01
DAC,power,PL,0,9.50E-10,9.50E-04
DAC,power,PL,1,1.57E-09,1.57E-03
DAC,power,PL,2,2.19E-09,2.19E-03
DAC,power,PL,3,2.88E-09,2.88E-03
DAC,power,PL,4,3.72E-09,3.72E-03
DAC,power,PL,5,4.66E-09,4.66E-03
DAC,power,PL,6,5.78E-09,5.78E-03
DAC,power,PL,7,7.16E-09,7.16E-03
DAC,power,PL,8,8.88E-09,8.88E-03
DAC,power,PL,9,1.10E-08,1.10E-02
DAC,power,PL,10,1.28E-08,1.28E-02
DAC,power,PL,11,1.56E-08,1.56E-02
DAC,power,PL,12,2.01E-08,2.01E-02
DAC,power,PL,13,3.08E-08,3.08E-02
DAC,power,PL,14,7.85E-08,7.85E-02
DAC,power,PT,0,9.18E-10,9.18E-04
DAC,power,PT,1,1.53E-09,1.53E-03
DAC,power,PT,2,2.13E-09,2.13E-03
DAC,power,PT,3,2.79E-09,2.79E-03
DAC,power,PT,4,3.57E-09,3.57E-03
DAC,power,PT,5,4.42E-09,4.42E-03
DAC,power,PT,6,5.41E-09,5.41E-03
DAC,power,PT,7,6.62E-09,6.62E-03
DAC,power,PT,8,8.10E-09,8.10E-03
DAC,power,PT,9,9.96E-09,9.96E-03
DAC,power,PT,10,1.14E-08,1.14E-02
DAC,power,PT,11,1.38E-08,1.38E-02
DAC,power,PT,12,1.75E-08,1.75E-02
DAC,power,PT,13,2.49E-08,2.49E-02
DAC,power,PT,14,5.51E-08,5.51E-02
DAC,power,RO,0,9.56E-10,9.56E-04
DAC,power,RO,1,1.59E-09,1.59E-03
DAC,power,RO,2,2.21E-09,2.21E-03
DAC,power,RO,3,2.90E-09,2.90E-03
