technology,capacity_type,location,year,none,
district_heating_grid,power,SE,7,4.743806457,4.74E+06
district_heating_grid,power,SE,8,4.161871338,4.16E+06
district_heating_grid,power,SE,9,3.591592129,3.59E+06
district_heating_grid,power,SE,10,3.353746746,3.35E+06
district_heating_grid,power,SE,11,2.692114693,2.69E+06
district_heating_grid,power,SE,12,2.383536742,2.38E+06
district_heating_grid,power,SE,13,1.861265261,1.86E+06
district_heating_grid,power,SE,14,1.08858968,1.09E+06
district_heating_grid,power,SI,0,0.498654716,4.99E+05
district_heating_grid,power,SI,1,0.487971477,4.88E+05
district_heating_grid,power,SI,2,0.477288238,4.77E+05
district_heating_grid,power,SI,3,0.466604999,4.67E+05
district_heating_grid,power,SI,4,0.455921761,4.56E+05
district_heating_grid,power,SI,5,0.445238522,4.45E+05
district_heating_grid,power,SI,6,0.39259444,3.93E+05
district_heating_grid,power,SI,7,0.381911203,3.82E+05
district_heating_grid,power,SI,8,0.371227967,3.71E+05
district_heating_grid,power,SI,9,0.360544735,3.61E+05
district_heating_grid,power,SI,10,0.349861509,3.50E+05
district_heating_grid,power,SI,11,0.306439817,3.06E+05
district_heating_grid,power,SI,12,0.266593346,2.67E+05
district_heating_grid,power,SI,13,0.222769213,2.23E+05
district_heating_grid,power,SI,14,0.175635076,1.76E+05
district_heating_grid,power,SK,0,1.293401617,1.29E+06
district_heating_grid,power,SK,1,1.293401621,1.29E+06
district_heating_grid,power,SK,2,1.293401625,1.29E+06
district_heating_grid,power,SK,3,1.29340163,1.29E+06
district_heating_grid,power,SK,4,1.293401635,1.29E+06
district_heating_grid,power,SK,5,1.293401641,1.29E+06
district_heating_grid,power,SK,6,1.293401648,1.29E+06
district_heating_grid,power,SK,7,1.293401656,1.29E+06
district_heating_grid,power,SK,8,1.293401668,1.29E+06
district_heating_grid,power,SK,9,0.592629022,5.93E+05
district_heating_grid,power,SK,10,0.540491335,5.40E+05
district_heating_grid,power,SK,11,0.418353026,4.18E+05
district_heating_grid,power,SK,12,0.41835306,4.18E+05
district_heating_grid,power,SK,13,0.311415791,3.11E+05
district_heating_grid,power,SK,14,0.170727659,1.71E+05
district_heating_grid,power,UK,0,2.008914593,2.01E+06
district_heating_grid,power,UK,1,2.008914598,2.01E+06
district_heating_grid,power,UK,2,2.008914605,2.01E+06
district_heating_grid,power,UK,3,2.008914612,2.01E+06
district_heating_grid,power,UK,4,2.008914619,2.01E+06
district_heating_grid,power,UK,5,2.008914627,2.01E+06
district_heating_grid,power,UK,6,2.008914635,2.01E+06
district_heating_grid,power,UK,7,2.008914645,2.01E+06
district_heating_grid,power,UK,8,1.154642984,1.15E+06
district_heating_grid,power,UK,9,1.154643004,1.15E+06
district_heating_grid,power,UK,10,1.154643029,1.15E+06
district_heating_grid,power,UK,11,1.083595847,1.08E+06
district_heating_grid,power,UK,12,0.949230919,9.49E+05
district_heating_grid,power,UK,13,0.86552685,8.66E+05
district_heating_grid,power,UK,14,0.580763939,5.81E+05
electrode_boiler,power,AT,0,2.367697013,2.37E+06
electrode_boiler,power,AT,1,2.197902492,2.20E+06
electrode_boiler,power,AT,2,1.990230595,1.99E+06
electrode_boiler,power,AT,3,1.911546798,1.91E+06
electrode_boiler,power,AT,4,1.776828152,1.78E+06
electrode_boiler,power,AT,5,1.620157672,1.62E+06
electrode_boiler,power,AT,6,1.389667396,1.39E+06
electrode_boiler,power,AT,7,1.13131536,1.13E+06
electrode_boiler,power,AT,8,1.033662267,1.03E+06
electrode_boiler,power,AT,9,0.828335095,8.28E+05
electrode_boiler,power,AT,10,0.729002802,7.29E+05
electrode_boiler,power,AT,11,0.480112214,4.80E+05
electrode_boiler,power,AT,12,0.373346531,3.73E+05
electrode_boiler,power,AT,13,0.097060946,9.71E+04
electrode_boiler,power,AT,14,0.041919362,4.19E+04
electrode_boiler,power,BE,0,1.476226804,1.48E+06
electrode_boiler,power,BE,1,1.439865444,1.44E+06
electrode_boiler,power,BE,2,1.345621946,1.35E+06
electrode_boiler,power,BE,3,1.239770292,1.24E+06
electrode_boiler,power,BE,4,1.170855024,1.17E+06
electrode_boiler,power,BE,5,1.083872854,1.08E+06
electrode_boiler,power,BE,6,0.98793336,9.88E+05
electrode_boiler,power,BE,7,0.759186489,7.59E+05
electrode_boiler,power,BE,8,0.663379037,6.63E+05
electrode_boiler,power,BE,9,0.429884468,4.30E+05
electrode_boiler,power,BE,10,0.421754406,4.22E+05
electrode_boiler,power,BE,11,0.156282458,1.56E+05
electrode_boiler,power,BE,12,0.126205615,1.26E+05
electrode_boiler,power,BE,13,0.022742366,2.27E+04
electrode_boiler,power,BE,14,0.018677572,1.87E+04
electrode_boiler,power,BG,0,2.144802867,2.14E+06
electrode_boiler,power,BG,1,1.827101244,1.83E+06
electrode_boiler,power,BG,2,1.681924759,1.68E+06
electrode_boiler,power,BG,3,1.553212738,1.55E+06
electrode_boiler,power,BG,4,1.367342587,1.37E+06
electrode_boiler,power,BG,5,1.340046461,1.34E+06
electrode_boiler,power,BG,6,1.229900762,1.23E+06
electrode_boiler,power,BG,7,1.007879049,1.01E+06
electrode_boiler,power,BG,8,0.748672352,7.49E+05
electrode_boiler,power,BG,9,0.721376236,7.21E+05
electrode_boiler,power,BG,10,0.570720023,5.71E+05
electrode_boiler,power,BG,11,0.389308598,3.89E+05
electrode_boiler,power,BG,12,0.352872526,3.53E+05
electrode_boiler,power,BG,13,0.217439496,2.17E+05
electrode_boiler,power,BG,14,6.73E-07,6.73E-01
electrode_boiler,power,CH,0,3.208024531,3.21E+06
electrode_boiler,power,CH,1,2.977967649,2.98E+06
electrode_boiler,power,CH,2,2.6965902,2.70E+06
electrode_boiler,power,CH,3,2.589980464,2.59E+06
electrode_boiler,power,CH,4,2.407448356,2.41E+06
electrode_boiler,power,CH,5,2.195173413,2.20E+06
electrode_boiler,power,CH,6,1.882879034,1.88E+06
electrode_boiler,power,CH,7,1.532834382,1.53E+06
electrode_boiler,power,CH,8,1.400522889,1.40E+06
electrode_boiler,power,CH,9,1.122322335,1.12E+06
electrode_boiler,power,CH,10,0.987735669,9.88E+05
electrode_boiler,power,CH,11,0.650510453,6.51E+05
electrode_boiler,power,CH,12,0.505852179,5.06E+05
electrode_boiler,power,CH,13,0.131509097,1.32E+05
electrode_boiler,power,CH,14,0.056796934,5.68E+04
electrode_boiler,power,CZ,0,2.908522549,2.91E+06
electrode_boiler,power,CZ,1,2.60926515,2.61E+06
electrode_boiler,power,CZ,2,2.307513281,2.31E+06
electrode_boiler,power,CZ,3,2.271041465,2.27E+06
electrode_boiler,power,CZ,4,2.141945031,2.14E+06
electrode_boiler,power,CZ,5,2.039135993,2.04E+06
electrode_boiler,power,CZ,6,1.848269671,1.85E+06
electrode_boiler,power,CZ,7,1.597343172,1.60E+06
electrode_boiler,power,CZ,8,1.552351563,1.55E+06
electrode_boiler,power,CZ,9,1.432097993,1.43E+06
electrode_boiler,power,CZ,10,1.368701208,1.37E+06
electrode_boiler,power,CZ,11,1.149293631,1.15E+06
electrode_boiler,power,CZ,12,0.965652418,9.66E+05
electrode_boiler,power,CZ,13,0.558581223,5.59E+05
electrode_boiler,power,CZ,14,0.446198559,4.46E+05
electrode_boiler,power,DE,0,13.02777126,1.30E+07
electrode_boiler,power,DE,1,12.50486997,1.25E+07
electrode_boiler,power,DE,2,11.93440985,1.19E+07
electrode_boiler,power,DE,3,10.53849022,1.05E+07
electrode_boiler,power,DE,4,9.57780973,9.58E+06
electrode_boiler,power,DE,5,8.032553933,8.03E+06
electrode_boiler,power,DE,6,7.251665557,7.25E+06
electrode_boiler,power,DE,7,4.774661341,4.77E+06
electrode_boiler,power,DE,8,3.565425959,3.57E+06
electrode_boiler,power,DE,9,2.449902941,2.45E+06
electrode_boiler,power,DE,10,2.223816376,2.22E+06
electrode_boiler,power,DE,11,1.319084557,1.32E+06
electrode_boiler,power,DE,12,0.941212889,9.41E+05
electrode_boiler,power,DE,13,0.715126373,7.15E+05
electrode_boiler,power,DE,14,0.42939893,4.29E+05
electrode_boiler,power,DK,0,7.927170705,7.93E+06
electrode_boiler,power,DK,1,7.903996337,7.90E+06
electrode_boiler,power,DK,2,8.16449046,8.16E+06
electrode_boiler,power,DK,3,8.731997768,8.73E+06
electrode_boiler,power,DK,4,10.01104345,1.00E+07
electrode_boiler,power,DK,5,11.40302635,1.14E+07
electrode_boiler,power,DK,6,13.11380604,1.31E+07
electrode_boiler,power,DK,7,15.53321945,1.55E+07
electrode_boiler,power,DK,8,16.06679665,1.61E+07
electrode_boiler,power,DK,9,16.5812262,1.66E+07
electrode_boiler,power,DK,10,16.97575961,1.70E+07
electrode_boiler,power,DK,11,17.32431803,1.73E+07
electrode_boiler,power,DK,12,18.39484314,1.84E+07
electrode_boiler,power,DK,13,18.39484336,1.84E+07
electrode_boiler,power,DK,14,19.32702264,1.93E+07
electrode_boiler,power,EE,0,2.227777409,2.23E+06
electrode_boiler,power,EE,1,2.224181559,2.22E+06
electrode_boiler,power,EE,2,2.295848705,2.30E+06
electrode_boiler,power,EE,3,2.338682133,2.34E+06
electrode_boiler,power,EE,4,2.407972596,2.41E+06
electrode_boiler,power,EE,5,2.568619273,2.57E+06
electrode_boiler,power,EE,6,2.914910116,2.91E+06
electrode_boiler,power,EE,7,3.156996638,3.16E+06
electrode_boiler,power,EE,8,3.270067292,3.27E+06
electrode_boiler,power,EE,9,3.313856838,3.31E+06
electrode_boiler,power,EE,10,3.417847414,3.42E+06
electrode_boiler,power,EE,11,3.619896133,3.62E+06
electrode_boiler,power,EE,12,3.703486977,3.70E+06
electrode_boiler,power,EE,13,3.703509566,3.70E+06
electrode_boiler,power,EE,14,3.795501016,3.80E+06
electrode_boiler,power,EL,0,16.66447879,1.67E+07
electrode_boiler,power,EL,1,16.66447881,1.67E+07
electrode_boiler,power,EL,2,16.66447903,1.67E+07
electrode_boiler,power,EL,3,17.68323384,1.77E+07
electrode_boiler,power,EL,4,18.9237876,1.89E+07
electrode_boiler,power,EL,5,22.49198804,2.25E+07
electrode_boiler,power,EL,6,23.71118293,2.37E+07
electrode_boiler,power,EL,7,25.18268063,2.52E+07
electrode_boiler,power,EL,8,25.18268356,2.52E+07
electrode_boiler,power,EL,9,25.18268344,2.52E+07
electrode_boiler,power,EL,10,25.18268575,2.52E+07
electrode_boiler,power,EL,11,25.18268559,2.52E+07
electrode_boiler,power,EL,12,25.21491594,2.52E+07
electrode_boiler,power,EL,13,25.29422026,2.53E+07
electrode_boiler,power,EL,14,25.3019759,2.53E+07
electrode_boiler,power,ES,0,3.20695988,3.21E+06
electrode_boiler,power,ES,1,2.847955378,2.85E+06
electrode_boiler,power,ES,2,2.601106161,2.60E+06
electrode_boiler,power,ES,3,2.447189038,2.45E+06
electrode_boiler,power,ES,4,2.239661725,2.24E+06
electrode_boiler,power,ES,5,2.144121144,2.14E+06
electrode_boiler,power,ES,6,1.963791768,1.96E+06
electrode_boiler,power,ES,7,1.597305529,1.60E+06
electrode_boiler,power,ES,8,1.275153237,1.28E+06
electrode_boiler,power,ES,9,1.058781254,1.06E+06
electrode_boiler,power,ES,10,0.974355478,9.74E+05
electrode_boiler,power,ES,11,0.656014411,6.56E+05
electrode_boiler,power,ES,12,0.29835012,2.98E+05
electrode_boiler,power,ES,13,0.042213156,4.22E+04
electrode_boiler,power,ES,14,6.93E-07,6.93E-01
electrode_boiler,power,FI,0,9.269585681,9.27E+06
electrode_boiler,power,FI,1,9.191657119,9.19E+06
electrode_boiler,power,FI,2,9.879356848,9.88E+06
electrode_boiler,power,FI,3,10.36869477,1.04E+07
electrode_boiler,power,FI,4,11.41469922,1.14E+07
electrode_boiler,power,FI,5,12.10968684,1.21E+07
electrode_boiler,power,FI,6,12.72545571,1.27E+07
electrode_boiler,power,FI,7,14.89778125,1.49E+07
electrode_boiler,power,FI,8,15.5814473,1.56E+07
electrode_boiler,power,FI,9,15.88983875,1.59E+07
electrode_boiler,power,FI,10,16.06711341,1.61E+07
electrode_boiler,power,FI,11,16.26636182,1.63E+07
electrode_boiler,power,FI,12,16.75325214,1.68E+07
electrode_boiler,power,FI,13,17.33720208,1.73E+07
electrode_boiler,power,FI,14,17.58880811,1.76E+07
electrode_boiler,power,FR,0,25.78194572,2.58E+07
electrode_boiler,power,FR,1,23.49492105,2.35E+07
electrode_boiler,power,FR,2,21.91840766,2.19E+07
electrode_boiler,power,FR,3,20.73721863,2.07E+07
electrode_boiler,power,FR,4,19.3927951,1.94E+07
electrode_boiler,power,FR,5,17.64127957,1.76E+07
electrode_boiler,power,FR,6,16.43125721,1.64E+07
electrode_boiler,power,FR,7,11.65517038,1.17E+07
electrode_boiler,power,FR,8,10.76465667,1.08E+07
electrode_boiler,power,FR,9,8.639794321,8.64E+06
electrode_boiler,power,FR,10,6.358097401,6.36E+06
electrode_boiler,power,FR,11,4.689344504,4.69E+06
electrode_boiler,power,FR,12,2.908983689,2.91E+06
electrode_boiler,power,FR,13,1.002026415,1.00E+06
electrode_boiler,power,FR,14,0.561110035,5.61E+05
electrode_boiler,power,HR,0,0.709254178,7.09E+05
electrode_boiler,power,HR,1,0.661251281,6.61E+05
electrode_boiler,power,HR,2,0.610448842,6.10E+05
electrode_boiler,power,HR,3,0.582527688,5.83E+05
electrode_boiler,power,HR,4,0.534126765,5.34E+05
electrode_boiler,power,HR,5,0.487500062,4.88E+05
electrode_boiler,power,HR,6,0.424272012,4.24E+05
electrode_boiler,power,HR,7,0.317062333,3.17E+05
electrode_boiler,power,HR,8,0.284041577,2.84E+05
electrode_boiler,power,HR,9,0.22230994,2.22E+05
electrode_boiler,power,HR,10,0.181139064,1.81E+05
electrode_boiler,power,HR,11,0.137390705,1.37E+05
electrode_boiler,power,HR,12,0.083232862,8.32E+04
electrode_boiler,power,HR,13,0.018389827,1.84E+04
electrode_boiler,power,HR,14,0.013802509,1.38E+04
electrode_boiler,power,HU,0,1.905978319,1.91E+06
electrode_boiler,power,HU,1,1.83727091,1.84E+06
electrode_boiler,power,HU,2,1.723930836,1.72E+06
electrode_boiler,power,HU,3,1.599943974,1.60E+06
electrode_boiler,power,HU,4,1.524788425,1.52E+06
electrode_boiler,power,HU,5,1.447682514,1.45E+06
electrode_boiler,power,HU,6,1.373909473,1.37E+06
electrode_boiler,power,HU,7,0.925873357,9.26E+05
electrode_boiler,power,HU,8,0.855258382,8.55E+05
electrode_boiler,power,HU,9,0.782165477,7.82E+05
electrode_boiler,power,HU,10,0.757052515,7.57E+05
electrode_boiler,power,HU,11,0.534902596,5.35E+05
electrode_boiler,power,HU,12,0.49773034,4.98E+05
electrode_boiler,power,HU,13,0.270206582,2.70E+05
electrode_boiler,power,HU,14,0.231869259,2.32E+05
electrode_boiler,power,IE,0,1.024286687,1.02E+06
electrode_boiler,power,IE,1,0.989675656,9.90E+05
electrode_boiler,power,IE,2,0.909392884,9.09E+05
electrode_boiler,power,IE,3,0.852489627,8.52E+05
electrode_boiler,power,IE,4,0.786476234,7.86E+05
electrode_boiler,power,IE,5,0.712371212,7.12E+05
electrode_boiler,power,IE,6,0.661185973,6.61E+05
electrode_boiler,power,IE,7,0.541920025,5.42E+05
electrode_boiler,power,IE,8,0.498131269,4.98E+05
electrode_boiler,power,IE,9,0.383737233,3.84E+05
electrode_boiler,power,IE,10,0.32576474,3.26E+05
electrode_boiler,power,IE,11,0.222938808,2.23E+05
electrode_boiler,power,IE,12,0.176986616,1.77E+05
electrode_boiler,power,IE,13,0.089622605,8.96E+04
electrode_boiler,power,IE,14,0.053116124,5.31E+04
electrode_boiler,power,IT,0,8.436139149,8.44E+06
electrode_boiler,power,IT,1,7.758153937,7.76E+06
electrode_boiler,power,IT,2,7.398816401,7.40E+06
electrode_boiler,power,IT,3,7.345406582,7.35E+06
electrode_boiler,power,IT,4,6.91895063,6.92E+06
electrode_boiler,power,IT,5,6.5514846,6.55E+06
electrode_boiler,power,IT,6,6.333527993,6.33E+06
electrode_boiler,power,IT,7,5.684541209,5.68E+06
electrode_boiler,power,IT,8,5.595547944,5.60E+06
electrode_boiler,power,IT,9,4.874962279,4.87E+06
electrode_boiler,power,IT,10,4.821552522,4.82E+06
electrode_boiler,power,IT,11,3.97170786,3.97E+06
electrode_boiler,power,IT,12,0.561320434,5.61E+05
electrode_boiler,power,IT,13,0.414608133,4.15E+05
electrode_boiler,power,IT,14,0.414609814,4.15E+05
electrode_boiler,power,LT,0,2.678080396,2.68E+06
electrode_boiler,power,LT,1,2.673344645,2.67E+06
electrode_boiler,power,LT,2,2.66013495,2.66E+06
electrode_boiler,power,LT,3,2.883353392,2.88E+06
electrode_boiler,power,LT,4,3.169903921,3.17E+06
electrode_boiler,power,LT,5,3.986603795,3.99E+06
electrode_boiler,power,LT,6,4.31426222,4.31E+06
electrode_boiler,power,LT,7,5.244835448,5.24E+06
electrode_boiler,power,LT,8,5.265939055,5.27E+06
electrode_boiler,power,LT,9,5.265938821,5.27E+06
electrode_boiler,power,LT,10,5.265939435,5.27E+06
electrode_boiler,power,LT,11,5.265939144,5.27E+06
electrode_boiler,power,LT,12,5.31649406,5.32E+06
electrode_boiler,power,LT,13,5.423411502,5.42E+06
electrode_boiler,power,LT,14,5.473966811,5.47E+06
electrode_boiler,power,LU,0,0.126297316,1.26E+05
electrode_boiler,power,LU,1,0.12629732,1.26E+05
electrode_boiler,power,LU,2,0.126297325,1.26E+05
electrode_boiler,power,LU,3,0.12629733,1.26E+05
electrode_boiler,power,LU,4,0.109772974,1.10E+05
electrode_boiler,power,LU,5,0.109772981,1.10E+05
electrode_boiler,power,LU,6,0.103023531,1.03E+05
electrode_boiler,power,LU,7,0.087531428,8.75E+04
electrode_boiler,power,LU,8,0.086544594,8.65E+04
electrode_boiler,power,LU,9,0.08502724,8.50E+04
electrode_boiler,power,LU,10,0.068856989,6.89E+04
electrode_boiler,power,LU,11,0.06048806,6.05E+04
electrode_boiler,power,LU,12,0.049463041,4.95E+04
electrode_boiler,power,LU,13,0.049463125,4.95E+04
electrode_boiler,power,LU,14,6.95E-07,6.95E-01
electrode_boiler,power,LV,0,2.880245858,2.88E+06
electrode_boiler,power,LV,1,2.868009699,2.87E+06
electrode_boiler,power,LV,2,2.863304746,2.86E+06
electrode_boiler,power,LV,3,2.950176617,2.95E+06
electrode_boiler,power,LV,4,3.120371754,3.12E+06
electrode_boiler,power,LV,5,3.25416247,3.25E+06
electrode_boiler,power,LV,6,3.821316574,3.82E+06
electrode_boiler,power,LV,7,3.931416471,3.93E+06
electrode_boiler,power,LV,8,3.97841056,3.98E+06
electrode_boiler,power,LV,9,4.023453689,4.02E+06
electrode_boiler,power,LV,10,4.15221691,4.15E+06
electrode_boiler,power,LV,11,4.152216474,4.15E+06
electrode_boiler,power,LV,12,4.152219227,4.15E+06
electrode_boiler,power,LV,13,4.200207583,4.20E+06
electrode_boiler,power,LV,14,4.422455689,4.42E+06
electrode_boiler,power,NL,0,1.832205716,1.83E+06
electrode_boiler,power,NL,1,1.787348194,1.79E+06
electrode_boiler,power,NL,2,1.694216735,1.69E+06
electrode_boiler,power,NL,3,8.61602379,8.62E+06
electrode_boiler,power,NL,4,16.21507282,1.62E+07
electrode_boiler,power,NL,5,21.88987453,2.19E+07
electrode_boiler,power,NL,6,23.09478738,2.31E+07
electrode_boiler,power,NL,7,25.43582296,2.54E+07
electrode_boiler,power,NL,8,27.2124208,2.72E+07
electrode_boiler,power,NL,9,27.10532811,2.71E+07
electrode_boiler,power,NL,10,27.08966143,2.71E+07
electrode_boiler,power,NL,11,26.81957878,2.68E+07
electrode_boiler,power,NL,12,26.66071548,2.67E+07
electrode_boiler,power,NL,13,26.64825478,2.66E+07
electrode_boiler,power,NL,14,26.41733913,2.64E+07
electrode_boiler,power,NO,0,9.425267613,9.43E+06
electrode_boiler,power,NO,1,11.40491202,1.14E+07
electrode_boiler,power,NO,2,14.02587341,1.40E+07
electrode_boiler,power,NO,3,15.69419591,1.57E+07
electrode_boiler,power,NO,4,16.53538664,1.65E+07
electrode_boiler,power,NO,5,17.21598404,1.72E+07
electrode_boiler,power,NO,6,17.48402919,1.75E+07
electrode_boiler,power,NO,7,17.79103677,1.78E+07
electrode_boiler,power,NO,8,18.64981771,1.86E+07
electrode_boiler,power,NO,9,18.77517448,1.88E+07
electrode_boiler,power,NO,10,18.83819904,1.88E+07
electrode_boiler,power,NO,11,18.88999625,1.89E+07
electrode_boiler,power,NO,12,19.00210443,1.90E+07
electrode_boiler,power,NO,13,19.08690352,1.91E+07
electrode_boiler,power,NO,14,19.19644869,1.92E+07
electrode_boiler,power,PL,0,13.15960893,1.32E+07
electrode_boiler,power,PL,1,13.15960906,1.32E+07
electrode_boiler,power,PL,2,13.73556466,1.37E+07
electrode_boiler,power,PL,3,27.40874494,2.74E+07
electrode_boiler,power,PL,4,27.40874535,2.74E+07
electrode_boiler,power,PL,5,33.71568803,3.37E+07
electrode_boiler,power,PL,6,55.89631937,5.59E+07
electrode_boiler,power,PL,7,60.98458541,6.10E+07
electrode_boiler,power,PL,8,67.34189157,6.73E+07
electrode_boiler,power,PL,9,73.88771579,7.39E+07
electrode_boiler,power,PL,10,74.70021007,7.47E+07
electrode_boiler,power,PL,11,73.88771798,7.39E+07
electrode_boiler,power,PL,12,73.86903673,7.39E+07
electrode_boiler,power,PL,13,76.92536678,7.69E+07
electrode_boiler,power,PL,14,77.38584044,7.74E+07
electrode_boiler,power,PT,0,0.562165209,5.62E+05
electrode_boiler,power,PT,1,0.54814198,5.48E+05
electrode_boiler,power,PT,2,0.535049589,5.35E+05
electrode_boiler,power,PT,3,0.516591617,5.17E+05
electrode_boiler,power,PT,4,0.509920635,5.10E+05
electrode_boiler,power,PT,5,0.493718073,4.94E+05
electrode_boiler,power,PT,6,0.488992077,4.89E+05
electrode_boiler,power,PT,7,0.460173742,4.60E+05
electrode_boiler,power,PT,8,0.446797512,4.47E+05
electrode_boiler,power,PT,9,0.408417121,4.08E+05
electrode_boiler,power,PT,10,0.404317093,4.04E+05
electrode_boiler,power,PT,11,0.064147746,6.41E+04
electrode_boiler,power,PT,12,0.045446426,4.54E+04
electrode_boiler,power,PT,13,0.022409297,2.24E+04
electrode_boiler,power,PT,14,0.000694827,6.95E+02
electrode_boiler,power,RO,0,0.094081818,9.41E+04
electrode_boiler,power,RO,1,0.091562008,9.16E+04
electrode_boiler,power,RO,2,0.091562013,9.16E+04
electrode_boiler,power,RO,3,0.082443773,8.24E+04
electrode_boiler,power,RO,4,0.068401648,6.84E+04
electrode_boiler,power,RO,5,0.063781223,6.38E+04
electrode_boiler,power,RO,6,0.058983312,5.90E+04
electrode_boiler,power,RO,7,0.043806278,4.38E+04
electrode_boiler,power,RO,8,0.037575452,3.76E+04
electrode_boiler,power,RO,9,0.026911943,2.69E+04
electrode_boiler,power,RO,10,0.022952779,2.30E+04
electrode_boiler,power,RO,11,0.015256469,1.53E+04
electrode_boiler,power,RO,12,0.01525651,1.53E+04
electrode_boiler,power,RO,13,0.01267006,1.27E+04
electrode_boiler,power,RO,14,0.009621933,9.62E+03
electrode_boiler,power,SE,0,8.246857808,8.25E+06
electrode_boiler,power,SE,1,8.832230048,8.83E+06
electrode_boiler,power,SE,2,9.783697611,9.78E+06
electrode_boiler,power,SE,3,10.4705967,1.05E+07
electrode_boiler,power,SE,4,12.52537372,1.25E+07
electrode_boiler,power,SE,5,15.64043048,1.56E+07
electrode_boiler,power,SE,6,16.50402259,1.65E+07
electrode_boiler,power,SE,7,17.14218538,1.71E+07
electrode_boiler,power,SE,8,19.65788028,1.97E+07
electrode_boiler,power,SE,9,19.7589397,1.98E+07
electrode_boiler,power,SE,10,19.794199,1.98E+07
electrode_boiler,power,SE,11,20.24126935,2.02E+07
electrode_boiler,power,SE,12,20.54984706,2.05E+07
electrode_boiler,power,SE,13,21.07211859,2.11E+07
electrode_boiler,power,SE,14,21.84479788,2.18E+07
electrode_boiler,power,SI,0,0.50464424,5.05E+05
electrode_boiler,power,SI,1,0.470172792,4.70E+05
electrode_boiler,power,SI,2,0.447304108,4.47E+05
electrode_boiler,power,SI,3,0.442170258,4.42E+05
electrode_boiler,power,SI,4,0.437036406,4.37E+05
electrode_boiler,power,SI,5,0.396668554,3.97E+05
electrode_boiler,power,SI,6,0.377309333,3.77E+05
electrode_boiler,power,SI,7,0.321530015,3.22E+05
electrode_boiler,power,SI,8,0.304968606,3.05E+05
electrode_boiler,power,SI,9,0.27623022,2.76E+05
electrode_boiler,power,SI,10,0.221245371,2.21E+05
electrode_boiler,power,SI,11,0.163888834,1.64E+05
electrode_boiler,power,SI,12,0.117773477,1.18E+05
electrode_boiler,power,SI,13,0.038754776,3.88E+04
electrode_boiler,power,SI,14,0.035202954,3.52E+04
electrode_boiler,power,SK,0,0.714834964,7.15E+05
electrode_boiler,power,SK,1,0.659002719,6.59E+05
electrode_boiler,power,SK,2,0.650175944,6.50E+05
electrode_boiler,power,SK,3,0.576064152,5.76E+05
electrode_boiler,power,SK,4,0.498054117,4.98E+05
electrode_boiler,power,SK,5,0.459961008,4.60E+05
electrode_boiler,power,SK,6,0.422104833,4.22E+05
electrode_boiler,power,SK,7,0.339877411,3.40E+05
electrode_boiler,power,SK,8,0.328965141,3.29E+05
electrode_boiler,power,SK,9,0.191429911,1.91E+05
electrode_boiler,power,SK,10,0.176816175,1.77E+05
electrode_boiler,power,SK,11,0.091190525,9.12E+04
electrode_boiler,power,SK,12,0.09119057,9.12E+04
electrode_boiler,power,SK,13,0.071228447,7.12E+04
electrode_boiler,power,SK,14,6.90E-07,6.90E-01
electrode_boiler,power,UK,0,67.76850311,6.78E+07
electrode_boiler,power,UK,1,67.11551303,6.71E+07
electrode_boiler,power,UK,2,66.12971542,6.61E+07
electrode_boiler,power,UK,3,81.22045317,8.12E+07
electrode_boiler,power,UK,4,111.4323693,1.11E+08
electrode_boiler,power,UK,5,128.5345526,1.29E+08
electrode_boiler,power,UK,6,130.6155215,1.31E+08
electrode_boiler,power,UK,7,137.9671582,1.38E+08
electrode_boiler,power,UK,8,153.2421822,1.53E+08
electrode_boiler,power,UK,9,153.7148089,1.54E+08
electrode_boiler,power,UK,10,153.7148095,1.54E+08
electrode_boiler,power,UK,11,153.745888,1.54E+08
electrode_boiler,power,UK,12,153.9639545,1.54E+08
electrode_boiler,power,UK,13,154.0039257,1.54E+08
electrode_boiler,power,UK,14,154.2886893,1.54E+08
electrode_boiler_DH,power,AT,0,2.26E-08,2.26E-02
electrode_boiler_DH,power,AT,1,3.69E-08,3.69E-02
electrode_boiler_DH,power,AT,2,5.02E-08,5.02E-02
electrode_boiler_DH,power,AT,3,6.33E-08,6.33E-02
electrode_boiler_DH,power,AT,4,7.65E-08,7.65E-02
electrode_boiler_DH,power,AT,5,9.07E-08,9.07E-02
electrode_boiler_DH,power,AT,6,1.07E-07,1.07E-01
electrode_boiler_DH,power,AT,7,1.26E-07,1.26E-01
electrode_boiler_DH,power,AT,8,1.49E-07,1.49E-01
electrode_boiler_DH,power,AT,9,1.77E-07,1.77E-01
electrode_boiler_DH,power,AT,10,1.90E-07,1.90E-01
electrode_boiler_DH,power,AT,11,2.23E-07,2.23E-01
electrode_boiler_DH,power,AT,12,2.77E-07,2.77E-01
electrode_boiler_DH,power,AT,13,3.76E-07,3.76E-01
electrode_boiler_DH,power,AT,14,7.48E-07,7.48E-01
electrode_boiler_DH,power,BE,0,2.32E-08,2.32E-02
electrode_boiler_DH,power,BE,1,3.71E-08,3.71E-02
electrode_boiler_DH,power,BE,2,4.99E-08,4.99E-02
electrode_boiler_DH,power,BE,3,6.27E-08,6.27E-02
electrode_boiler_DH,power,BE,4,7.58E-08,7.58E-02
electrode_boiler_DH,power,BE,5,9.00E-08,9.00E-02
electrode_boiler_DH,power,BE,6,1.06E-07,1.06E-01
