technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
DAC,power,SE,3.78E-10,6.22E-10,8.64E-10,1.14E-09,1.48E-09,1.88E-09,2.37E-09,3.00E-09,3.81E-09,4.85E-09,5.76E-09,7.00E-09,9.26E-09,1.83E-08,2.30E-07
DAC,power,SI,3.65E-10,6.02E-10,8.39E-10,1.10E-09,1.42E-09,1.78E-09,2.20E-09,2.72E-09,3.37E-09,4.18E-09,4.81E-09,5.83E-09,7.48E-09,1.14E-08,2.84E-08
DAC,power,SK,3.63E-10,6.02E-10,8.38E-10,1.10E-09,1.40E-09,1.72E-09,2.08E-09,2.52E-09,3.04E-09,3.70E-09,4.16E-09,4.96E-09,6.23E-09,8.64E-09,1.77E-08
DAC,power,UK,3.71E-10,6.11E-10,8.49E-10,1.12E-09,1.45E-09,1.83E-09,2.29E-09,2.87E-09,3.61E-09,4.54E-09,5.35E-09,6.48E-09,8.50E-09,1.49E-08,7.62E-08
biomass_boiler,power,AT,5.069829445,4.388495188,2.712549816,1.675732081,0.709657407,0.24508495,0.196963008,0.065465528,0.065465544,6.44E-08,8.59E-08,1.08E-07,1.36E-07,1.78E-07,2.77E-07
biomass_boiler,power,BE,1.864841829,1.864841831,1.245796908,1.086115699,0.624634366,0.245845563,0.175076958,4.34E-08,5.99E-08,7.51E-08,8.93E-08,1.06E-07,1.26E-07,1.56E-07,2.26E-07
biomass_boiler,power,BG,3.436625839,3.168167354,3.082876726,2.829558131,2.755148649,2.459889432,2.369135071,2.100880743,1.254138076,0.297694305,0.297694313,0.297694322,0.297694335,0.29769436,0.297694447
biomass_boiler,power,CH,6.869180111,5.946031161,3.675270232,2.270471935,0.961524364,0.332068891,0.266867823,0.088700116,0.088700131,6.47E-08,8.83E-08,1.09E-07,1.39E-07,1.83E-07,2.82E-07
biomass_boiler,power,CZ,6.363333809,5.736865703,5.005542692,4.445439815,3.749526088,2.649084431,1.983489423,1.650507065,0.686187047,0.274828467,0.274828473,0.274828481,0.274828493,0.274828512,0.274828568
biomass_boiler,power,DE,23.15749439,22.18921953,15.85437347,14.60968008,11.33277132,8.650569665,8.650569668,4.591445463,1.512492647,0.52023131,0.520231315,0.520231323,0.520231336,0.520231358,0.520231413
biomass_boiler,power,DK,3.011171776,2.499789326,1.627739985,1.592749517,1.51655889,1.313610293,0.816083434,0.565039901,0.51039537,0.097669461,0.097669464,0.097669468,0.097669475,0.097669487,0.097669527
biomass_boiler,power,EE,1.20250879,1.202508791,0.965887113,0.873676131,0.873676133,0.799327419,0.273634152,0.104120237,0.097111319,2.74E-08,3.51E-08,4.40E-08,5.62E-08,7.62E-08,1.45E-07
biomass_boiler,power,EL,3.320676165,3.320676166,3.320676168,3.320676169,2.606512791,0.268611347,0.26861135,0.268611354,2.25E-08,2.93E-08,3.60E-08,4.42E-08,5.56E-08,7.46E-08,1.40E-07
biomass_boiler,power,ES,4.149006673,3.85531027,3.257026327,1.782953126,1.145296473,0.560040872,0.244591308,0.244591312,0.032621584,3.08E-08,3.91E-08,4.88E-08,6.14E-08,8.20E-08,1.47E-07
biomass_boiler,power,FI,2.816487386,2.264185689,1.882425888,1.220726676,0.916090222,0.60138698,0.575428505,0.376096153,0.275196968,0.090475655,0.090475658,0.090475662,0.090475669,0.090475681,0.090475721
biomass_boiler,power,FR,16.55564397,14.68388211,11.82342139,9.861687854,4.866549376,2.140123276,1.702234677,0.691995363,4.27E-08,5.62E-08,6.85E-08,8.32E-08,1.01E-07,1.29E-07,2.07E-07
biomass_boiler,power,HR,3.165105057,2.905301255,2.641824251,2.377550141,0.656933467,0.333952271,0.157778335,0.092590314,0.092590319,2.73E-08,3.50E-08,4.35E-08,5.53E-08,7.48E-08,1.41E-07
biomass_boiler,power,HU,4.300547305,4.300547306,3.608741174,2.334826092,1.245368607,1.99E-08,2.90E-08,4.02E-08,5.05E-08,6.12E-08,7.12E-08,8.30E-08,9.82E-08,1.22E-07,2.12E-07
biomass_boiler,power,IE,0.119218131,0.119218132,0.119218134,0.096605893,0.085701972,0.038756628,0.020022939,4.47E-08,5.80E-08,7.10E-08,8.29E-08,9.69E-08,1.15E-07,1.43E-07,2.10E-07
biomass_boiler,power,IT,20.9592529,19.68662511,10.36846399,7.883206763,7.883206765,1.840847486,1.187671579,0.673263314,0.010478375,2.74E-08,3.48E-08,4.38E-08,5.58E-08,7.52E-08,1.42E-07
