technology,capacity_type,location,year,none
DAC,power,EL,3,1.1525941454117347e-09
DAC,power,EL,4,1.5058758060429207e-09
DAC,power,EL,5,1.90639611595658e-09
DAC,power,EL,6,2.3956802696576638e-09
DAC,power,EL,7,3.0312639168282746e-09
DAC,power,EL,8,3.852758692408978e-09
DAC,power,EL,9,4.906714914767761e-09
DAC,power,EL,10,5.837322455779442e-09
DAC,power,EL,11,7.073246046556111e-09
DAC,power,EL,12,9.301945769300537e-09
DAC,power,EL,13,1.728545876897557e-08
DAC,power,EL,14,4.793805246960711e-08
DAC,power,ES,0,3.541857603891133e-10
DAC,power,ES,1,5.894929260768416e-10
DAC,power,ES,2,8.203755883944292e-10
DAC,power,ES,3,1.0724243380932637e-09
DAC,power,ES,4,1.3685067329087111e-09
DAC,power,ES,5,1.6938958792584532e-09
DAC,power,ES,6,2.076097456837713e-09
DAC,power,ES,7,2.539785923120912e-09
DAC,power,ES,8,3.1099216818933275e-09
DAC,power,ES,9,3.824699166533605e-09
DAC,power,ES,10,4.368252688709375e-09
DAC,power,ES,11,5.255934556831027e-09
DAC,power,ES,12,6.674364009829257e-09
DAC,power,ES,13,9.562560248929543e-09
DAC,power,ES,14,2.3039135793141272e-08
DAC,power,FI,0,3.7667930993821024e-10
DAC,power,FI,1,6.249764955921286e-10
DAC,power,FI,2,8.678980336305137e-10
DAC,power,FI,3,1.1411152865816478e-09
DAC,power,FI,4,1.4911997252010738e-09
DAC,power,FI,5,1.893407854024476e-09
DAC,power,FI,6,2.3875572458616385e-09
DAC,power,FI,7,3.0265832182101234e-09
DAC,power,FI,8,3.856554196549207e-09
DAC,power,FI,9,4.914794899845226e-09
DAC,power,FI,10,5.857357003411099e-09
DAC,power,FI,11,7.114028987526767e-09
DAC,power,FI,12,9.432334319546366e-09
DAC,power,FI,13,1.910403985980836e-08
DAC,power,FI,14,3.949273146517285e-07
DAC,power,FR,0,3.6344438783329944e-10
DAC,power,FR,1,6.022443749443721e-10
DAC,power,FR,2,8.385158293371996e-10
DAC,power,FR,3,1.098479064216756e-09
DAC,power,FR,4,1.397180535174089e-09
DAC,power,FR,5,1.7138341440102962e-09
