year,0
2022,1.0
2023,0.9131326616300949
2024,0.8604415428043438
2025,0.809945762972308
2026,0.8090323689496708
2027,0.8092213676262722
2028,0.8085605387088151
2029,0.8082818820695639
2030,0.8034280449142732
2031,0.8033488915267365
2032,0.8033433777125296
2033,0.8033734380511797
2034,0.8033552357634821
2035,0.8033573505090639
2036,0.8033620081079087
2037,0.8033581981268182
2038,0.8033591855812635
2039,0.8033597972719969
2040,0.8033590603266928
2041,0.8033593477266511
2042,0.8033594017751136
2043,0.803359269942819
2044,0.8033593398148613
2045,0.803359337177598
2046,0.8033593156450928
2047,0.8033593308791839
2048,0.8033593279006248
2049,0.8033593248083006
2050,0.8033593278627031
